budget,bid_price,impression,clicks,ctr,cpm,cpc,cost
1/64,2.0,360,0,0.0,802.7777777777778,0.0,289
1/64,27.0,6499,3,0.0004616094783812894,15627.327281120171,33854.0,101562
1/64,52.0,3678,3,0.0008156606851549756,27613.37683523654,33854.0,101562
1/64,77.0,2525,1,0.00039603960396039607,40222.57425742574,101562.0,101562
1/64,102.0,2018,1,0.0004955401387512388,50328.04757185332,101562.0,101562
1/64,127.0,1870,1,0.0005347593582887701,54311.229946524065,101562.0,101562
1/64,152.0,1739,1,0.0005750431282346176,58402.530189764235,101562.0,101562
1/64,177.0,1596,1,0.0006265664160401002,63635.338345864664,101562.0,101562
1/64,202.0,1488,1,0.0006720430107526882,68254.03225806452,101562.0,101562
1/64,227.0,1419,1,0.0007047216349541931,71572.93868921776,101562.0,101562
1/64,252.0,1376,1,0.0007267441860465116,73809.59302325582,101562.0,101562
1/64,277.0,1331,1,0.0007513148009015778,76305.03380916604,101562.0,101562
1/64,302.0,1317,1,0.0007593014426727411,77116.17312072893,101562.0,101562
1/32,2.0,360,0,0.0,802.7777777777778,0.0,289
1/32,27.0,13016,6,0.00046097111247695143,15605.716041794714,33854.0,203124
1/32,52.0,7408,6,0.0008099352051835853,27419.546436285094,33854.0,203124
1/32,77.0,5093,3,0.0005890437855880621,39882.9766345965,67708.0,203124
1/32,102.0,4100,4,0.000975609756097561,49542.43902439024,50781.0,203124
1/32,127.0,3807,3,0.0007880220646178094,53355.39795114264,67708.0,203124
1/32,152.0,3551,2,0.000563221627710504,57201.914953534215,101562.0,203124
1/32,177.0,3282,3,0.0009140767824497258,61890.310786106034,67708.0,203124
1/32,202.0,3048,3,0.000984251968503937,66641.73228346456,67708.0,203124
1/32,227.0,2908,4,0.001375515818431912,69850.06877579092,50781.0,203124
1/32,252.0,2796,4,0.001430615164520744,72648.0686695279,50781.0,203124
1/32,277.0,2686,3,0.0011169024571854058,75623.23157110946,67708.0,203124
1/32,302.0,2660,3,0.0011278195488721805,76362.40601503759,67708.0,203124
1/16,2.0,360,0,0.0,802.7777777777778,0.0,289
1/16,27.0,26020,10,0.0003843197540353574,15612.951575710991,40624.9,406249
1/16,52.0,14708,8,0.0005439216752787598,27620.954582540115,50781.125,406249
1/16,77.0,10027,7,0.0006981150892590007,40515.50812805425,58035.57142857143,406249
1/16,102.0,8134,9,0.0011064666830587658,49944.553725104495,45138.77777777778,406249
1/16,127.0,7542,9,0.0011933174224343676,53864.88994961549,45138.77777777778,406249
1/16,152.0,6965,6,0.0008614501076812635,58327.20746590093,67708.16666666667,406249
1/16,177.0,6444,7,0.0010862818125387957,63042.985723153324,58035.57142857143,406249
1/16,202.0,5997,6,0.0010005002501250625,67742.03768550942,67708.16666666667,406249
1/16,227.0,5693,6,0.0010539258738802037,71359.38872299314,67708.16666666667,406249
1/16,252.0,5391,6,0.0011129660545353367,75356.891114821,67708.16666666667,406249
1/16,277.0,5224,6,0.0011485451761102604,77765.88820826953,67708.16666666667,406249
1/16,302.0,5156,6,0.0011636927851047323,78791.50504266874,67708.16666666667,406249
1/8,2.0,360,0,0.0,802.7777777777778,0.0,289
1/8,27.0,51943,15,0.00028877808366863675,15642.126946845581,54166.6,812499
1/8,52.0,29272,15,0.0005124350915550697,27756.86663022684,54166.6,812499
1/8,77.0,19917,13,0.0006527087412762966,40794.24612140383,62499.92307692308,812499
1/8,102.0,16203,17,0.0010491884218971795,50144.97315311979,47794.05882352941,812499
1/8,127.0,14977,16,0.0010683047339253523,54249.783000600924,50781.1875,812499
1/8,152.0,13812,14,0.0010136113524471474,58825.5864465682,58035.642857142855,812499
1/8,177.0,12784,12,0.0009386733416770963,63555.92928660826,67708.25,812499
1/8,202.0,11860,11,0.000927487352445194,68507.5042158516,73863.54545454546,812499
1/8,227.0,11297,12,0.0010622289103301762,71921.66061786315,67708.25,812499
1/8,252.0,10765,12,0.001114723641430562,75475.98699489085,67708.25,812499
1/8,277.0,10440,12,0.0011494252873563218,77825.57471264368,67708.25,812499
1/8,302.0,10274,12,0.0011679968853416391,79083.02511193304,67708.25,812499
1/4,2.0,360,0,0.0,802.7777777777778,0.0,289
1/4,27.0,59348,19,0.0003201455819909685,15633.871402574645,48833.63157894737,927839
1/4,52.0,58466,26,0.0004447029042520439,27793.91441179489,62499.96153846154,1624999
1/4,77.0,39838,26,0.0006526432049801697,40790.17520959888,62499.96153846154,1624999
1/4,102.0,32390,30,0.0009262117937635072,50169.77462179685,54166.63333333333,1624999
1/4,127.0,29975,28,0.0009341117597998332,54211.80984153461,58035.67857142857,1624999
1/4,152.0,27473,28,0.0010191824700615149,59148.9462381247,58035.67857142857,1624999
1/4,177.0,25458,26,0.0010212899677900856,63830.583706496975,62499.96153846154,1624999
1/4,202.0,23605,24,0.0010167337428510909,68841.30480830332,67708.29166666667,1624999
1/4,227.0,22385,25,0.0011168192986374804,72593.20973866429,64999.96,1624999
1/4,252.0,21365,22,0.0010297215071378423,76058.92815352212,73863.59090909091,1624999
1/4,277.0,20724,22,0.0010615711252653928,78411.45531750626,73863.59090909091,1624999
1/4,302.0,20317,22,0.0010828370330265296,79982.23162868535,73863.59090909091,1624999
1/2,2.0,360,0,0.0,802.7777777777778,0.0,289
1/2,27.0,59348,19,0.0003201455819909685,15633.871402574645,48833.63157894737,927839
1/2,52.0,114762,46,0.0004008295428800474,27816.78604416096,69398.04347826086,3192310
1/2,77.0,79600,45,0.0005653266331658291,40829.133165829146,72222.2,3249999
1/2,102.0,64798,52,0.0008024939041328436,50155.85357572765,62499.980769230766,3249999
1/2,127.0,59871,48,0.0008017237059678308,54283.359222328,67708.3125,3249999
1/2,152.0,54879,49,0.000892873412416407,59221.177499590005,66326.51020408163,3249999
1/2,177.0,50916,49,0.000962369392725273,63830.60334668866,66326.51020408163,3249999
1/2,202.0,47275,45,0.0009518773135906928,68746.67371760972,72222.2,3249999
1/2,227.0,44719,44,0.0009839218229387957,72676.02137793778,73863.61363636363,3249999
1/2,252.0,42674,42,0.0009842058396213151,76158.76177531986,77380.92857142857,3249999
1/2,277.0,41412,43,0.0010383463730319713,78479.64358157056,75581.37209302325,3249999
1/2,302.0,40548,43,0.0010604715399033244,80151.89405149453,75581.37209302325,3249999
1,2.0,360,0,0.0,802.7777777777778,0.0,289
1,27.0,59348,19,0.0003201455819909685,15633.871402574645,48833.63157894737,927839
1,52.0,114762,46,0.0004008295428800474,27816.78604416096,69398.04347826086,3192310
1,77.0,159081,69,0.0004337413016010712,40859.68154587914,94202.88405797101,6499999
1,102.0,129196,82,0.0006346945725873866,50311.14740394439,79268.28048780488,6499999
1,127.0,119588,86,0.0007191356992340369,54353.27123122721,75581.38372093023,6499999
1,152.0,109507,86,0.0007853379236030573,59356.92695444127,75581.38372093023,6499999
1,177.0,101690,85,0.0008358737338971384,63919.74628773724,76470.57647058823,6499999
1,202.0,94648,81,0.0008558025526160087,68675.50291606796,80246.90123456791,6499999
1,227.0,89559,75,0.000837436773523599,72577.84253955494,86666.65333333334,6499999
1,252.0,85535,72,0.0008417606827614426,75992.27216928743,90277.76388888889,6499999
1,277.0,82906,72,0.00086845342918486,78402.03362844668,90277.76388888889,6499999
1,302.0,81282,71,0.00087350212839251,79968.49240914348,91549.28169014085,6499999
